Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
93,Noah Clowney,PF,19,BRK,3,30,20.9,.680,.100,.400,10.5,14.7,12.6,14.8,0.0,3.0,7.8,18.1,,0.1,0.0,0.1,.212,,0.9,-1.7,-0.8,0.0,clownno01
94,Amir Coffey,SF,26,LAC,36,611,11.2,.703,.477,.238,2.5,8.7,5.7,5.0,1.4,0.6,9.5,11.3,,1.0,0.5,1.5,.119,,-1.2,0.0,-1.2,0.1,coffeam01
95,John Collins,PF,26,UTA,47,1300,15.7,.601,.329,.216,8.7,22.6,15.8,5.7,1.0,2.6,10.5,19.7,,1.5,1.2,2.7,.099,,-0.5,-1.2,-1.6,0.1,collijo01
96,Zach Collins,C,26,SAS,38,951,13.1,.559,.343,.251,8.0,16.4,12.2,18.2,1.0,2.3,16.8,21.8,,0.0,0.7,0.7,.033,,-2.4,-0.8,-3.1,-0.3,colliza01
97,Mike Conley,PG,36,MIN,45,1306,15.2,.610,.639,.161,1.4,9.2,5.6,30.4,1.7,0.6,11.1,14.9,,3.0,2.0,5.0,.185,,1.7,1.5,3.3,1.7,conlemi01
98,Pat Connaughton,SF,31,MIL,44,910,9.1,.588,.720,.148,3.4,12.6,8.1,9.7,1.1,0.7,11.0,10.1,,0.8,0.6,1.4,.075,,-1.4,-0.1,-1.4,0.1,connapa01
99,Bilal Coulibaly,SF,19,WAS,48,1278,9.2,.562,.402,.277,3.0,13.1,8.0,8.4,1.5,2.5,15.7,13.6,,-0.2,0.7,0.4,.016,,-3.5,-0.5,-4.0,-0.6,coulibi01
100,Ricky Council IV,SG,22,PHI,8,44,20.8,.594,.176,.765,10.1,10.1,10.1,3.3,2.2,0.0,0.0,22.0,,0.1,0.0,0.2,.202,,2.8,-1.6,1.2,0.0,councri01
101,Robert Covington,SF-PF,33,TOT,29,488,13.4,.580,.571,.265,7.1,14.9,11.0,6.1,3.9,3.3,9.1,10.5,,0.6,0.9,1.5,.145,,-1.0,3.2,2.2,0.5,covinro01
101,Robert Covington,PF,33,LAC,3,69,10.5,.455,.889,.222,3.4,9.5,6.6,11.8,4.3,2.6,0.0,6.2,,0.1,0.1,0.2,.133,,-2.3,4.5,2.2,0.1,covinro01
101,Robert Covington,SF,33,PHI,26,419,13.9,.593,.539,.270,7.7,15.8,11.8,5.2,3.8,3.4,9.9,11.3,,0.5,0.8,1.3,.147,,-0.7,2.9,2.2,0.4,covinro01
102,Torrey Craig,SF,33,CHI,28,586,11.0,.552,.556,.160,9.3,16.3,12.7,6.4,1.4,1.7,9.4,12.7,,0.6,0.6,1.2,.096,,-2.4,-0.2,-2.6,-0.1,craigto01
103,Jae Crowder,PF,33,MIL,19,446,9.1,.580,.695,.152,2.0,12.1,7.3,7.1,1.4,0.7,6.7,11.4,,0.3,0.3,0.7,.071,,-1.3,-0.1,-1.4,0.1,crowdja01
104,Cade Cunningham,PG,22,DET,40,1371,15.5,.542,.285,.238,1.3,12.1,6.6,34.6,1.4,0.8,15.2,30.0,,0.0,0.4,0.4,.013,,0.6,-2.2,-1.6,0.1,cunnica01
105,Seth Curry,SG,33,DAL,36,457,8.5,.502,.552,.131,3.6,9.1,6.3,8.5,1.8,0.6,9.4,15.8,,-0.1,0.3,0.2,.022,,-3.0,-1.1,-4.0,-0.2,curryse01
106,Stephen Curry,PG,35,GSW,43,1448,21.5,.634,.599,.278,1.5,12.7,7.1,24.1,1.2,1.1,12.0,31.5,,3.5,0.9,4.4,.147,,6.7,-1.2,5.5,2.7,curryst01
